Count,Id,category,url
503,8,"virus corona, số ca mắc Covid-19, dịch Covid-19 ở Việt Nam",https://dantri.com.vn/suc-khoe/the-gioi-vuot-9-trieu-ca-mac-viet-nam-con-15-ca-duong-tinh-sars-co-v-2-20200623061445574.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=224
504,8,"Hàn Quốc, COVID-19",https://dantri.com.vn/the-gioi/lan-song-covid-19-thu-hai-do-bo-han-quoc-vi-ky-nghi-cuoi-tuan-20200622204145234.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=225
505,8,"sản phụ, Ấn Độ, Covid 19, virus corona",https://dantri.com.vn/the-gioi/san-phu-an-do-va-con-nho-mat-mang-vi-bi-8-benh-vien-tu-choi-do-de-20200622165212270.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=211
506,8,"virus corona, phi công người Anh, bệnh nhân 91",https://dantri.com.vn/suc-khoe/phi-cong-nguoi-anh-khi-khoc-khi-cuoi-mong-muon-som-ve-que-nha-20200622170459537.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=212
507,8,"Phi công, nhiễm covid-19, Chợ Rẫy, ECMO",https://dantri.com.vn/suc-khoe/bac-si-lam-xiec-tren-day-khi-dieu-tri-nam-phi-cong-nhiem-covid-19-20200622151805644.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=213
508,8,"bệnh Covid-19, nguy cơ tử vong, thuốc chống viêm, virus corona",https://dantri.com.vn/suc-khoe/thuoc-chong-viem-giam-dau-lam-tang-nguy-co-tu-vong-cho-benh-nhan-covid-19-20200622131859713.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=214
509,8,"COVID-19, WHO",https://dantri.com.vn/the-gioi/so-ca-mac-covid-19-tang-manh-chua-tung-co-the-gioi-vao-giai-doan-nguy-hiem-20200622070832768.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=215
510,8,"virus corona, nam phi công người Anh, số ca mắc Covid-19",https://dantri.com.vn/suc-khoe/khong-ca-mac-moi-covid-19-nam-phi-cong-nguoi-anh-se-som-duoc-xuat-vien-20200622061936053.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=216
511,8,"virus corona, phi công người Anh, bệnh nhân 91",https://dantri.com.vn/suc-khoe/se-hoi-chan-quoc-gia-truoc-chuyen-khoa-cho-phi-cong-nguoi-anh-20200621200848277.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=217
512,8,"dịch covid, làn sóng lây nhiễm thứ 2, Châu Á",https://dantri.com.vn/the-gioi/nhieu-nuoc-chau-a-lo-sot-vo-vi-hiem-hoa-covid-19-tai-bung-phat-20200621173121556.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=218
513,8,"Đức, lò mổ, dịch covid 19",https://dantri.com.vn/the-gioi/hon-1000-ca-lay-nhiem-covid-19-trong-lo-mo-o-duc-20200621183709059.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=219
514,8,"COVID-19, virus corona, thổi giá",https://dantri.com.vn/the-gioi/zimbabwe-bat-khan-cap-bo-truong-y-te-vi-be-boi-thoi-gia-thiet-bi-20200621095545121.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=220
515,8,"virus corona, phi công người Anh, số ca mắc Covid-19",https://dantri.com.vn/suc-khoe/khong-ca-mac-moi-covid-19-phi-cong-nguoi-anh-khong-phai-cham-soc-dac-biet-20200621061133801.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=221
516,8,"virus corona, số ca mắc Covid-19, miễn dịch Covid-19",https://dantri.com.vn/suc-khoe/them-benh-nhan-covid-19-khoi-benh-con-16-ca-duong-tinh-sars-co-v-2-20200620181758173.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=222
517,8,"COVID-19, virus corona, Brazil",https://dantri.com.vn/the-gioi/49000-nguoi-chet-brazil-co-the-tro-thanh-o-dich-covid-19-lon-nhat-20200620130042510.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=223
518,8,"COVID-19, virus corona, WHO",https://dantri.com.vn/the-gioi/who-the-gioi-buoc-vao-giai-doan-moi-va-nguy-hiem-cua-dai-dich-covid-19-20200620054118950.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=224
519,8,"virus corona, nam phi công người Anh, dịch Covid-19 ở Việt Nam, số ca mắc Covid-19",https://dantri.com.vn/suc-khoe/khong-ca-mac-moi-covid-19-phi-cong-nguoi-anh-mong-ngong-ngay-xuat-vien-20200620061940219.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=225
520,8,"virus corona, dịch covid-19, số ca mắc Covid-19",https://dantri.com.vn/suc-khoe/them-7-ca-mac-covid-19-viet-nam-co-349-ca-benh-20200619180727429.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=226
521,8,"cựu đại sứ, Australia, việt nam",https://dantri.com.vn/the-gioi/cuu-dai-su-australia-hoi-thuc-canberra-day-manh-quan-he-voi-viet-nam-20200619153345486.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=227
522,8,"báo Dân trí, Bằng khen, Bộ Y tế",https://dantri.com.vn/suc-khoe/phong-vien-tre-bao-dan-tri-nhan-bang-khen-cua-bo-truong-bo-y-te-20200619112948533.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=228
523,8,"COVID-19, thuốc điều trị, viện trợ",https://dantri.com.vn/suc-khoe/nga-va-ukraine-tiep-suc-viet-nam-hang-chuc-ngan-vien-thuoc-chong-covid-19-20200619130817324.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=229
524,8,"Vành đai Con đường, Trung Quốc, virus corona, Covid 19",https://dantri.com.vn/the-gioi/trung-quoc-thua-nhan-vanh-dai-con-duong-gap-ghenh-vi-covid-19-20200619143436218.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=230
525,8,"không thu học phí, học sinh Cà Mau, COVID-19",https://dantri.com.vn/giao-duc-khuyen-hoc/covid-19-ca-mau-khong-thu-hoc-phi-15-thang-cac-truong-cong-lap-20200619124037336.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=231
526,8,"COVID-19, virus corona, bắc kinh",https://dantri.com.vn/the-gioi/trung-quoc-cong-bo-du-lieu-gen-virus-o-bac-kinh-giua-nghi-van-giau-dich-20200619130937789.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=232
527,8,"COVID-19, virus corona, Bolivia",https://dantri.com.vn/the-gioi/truyen-hinh-bolivia-gay-bao-vi-phat-canh-benh-nhan-covid-19-hap-hoi-20200619102811933.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=233
528,8,"virus corona, phi công người Anh, số ca mắc Covid-19",https://dantri.com.vn/suc-khoe/64-ngay-khong-ca-mac-covid-19-phoi-phi-cong-nguoi-anh-hoi-phuc-90-20200619061124099.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=234
529,8,"virus corona, Covid 19, Trung Quốc",https://dantri.com.vn/the-gioi/eu-len-tieng-ve-nghi-van-virus-corona-tu-chau-au-gay-ra-o-dich-o-bac-kinh-20200618210426626.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=235
530,8,"virus corona, số ca mắc Covid-19, dịch Covid-19 ở Việt Nam",https://dantri.com.vn/suc-khoe/7-ca-mac-moi-covid-19-viet-nam-chua-cong-bo-het-dich-20200618175651160.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=221
531,8,"Tổng thống Trump, Covid 19, virus corona",https://dantri.com.vn/the-gioi/ong-trump-noi-covid-19-se-bien-mat-du-khong-co-vacxin-20200618155935705.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=222
532,8,"virus corona, miễn dịch Covid-19, dịch covid-19",https://dantri.com.vn/suc-khoe/mien-dich-covid-19-thuc-su-ton-tai-trong-bao-lau-20200618150939804.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=223
533,8,"virus corona, Trung Quốc, COVID-19",https://dantri.com.vn/the-gioi/chung-virus-o-bac-kinh-nguy-hiem-hon-nhieu-o-vu-han-20200618100433016.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=224
534,8,"virus corona, Covid 19, Trung Quốc, bắc kinh",https://dantri.com.vn/the-gioi/hoi-chuong-canh-bao-cho-the-gioi-sau-khi-bac-kinh-tai-bung-phat-o-dich-20200618094654552.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=225
535,8,"cô bé vẽ tranh Covid-19, Nguyễn Đới Chung Anh, 11 bức tranh diễn biến Covid, cô bé vẽ tranh lên Reuters",https://dantri.com.vn/nhip-song-tre/co-be-viet-ve-tranh-ve-dich-covid-19-duoc-hang-tin-quoc-te-dua-tin-20200617225116960.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=226
536,8,"phi công người Anh, virus corona, số ca mắc Covid-19",https://dantri.com.vn/suc-khoe/con-6-ca-duong-tinh-sars-co-v-2-phi-cong-nguoi-anh-hoi-phuc-than-ky-20200618062849491.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=227
537,8,"Phi công nhiễm Covid-19, COVID-19",https://dantri.com.vn/suc-khoe/cuu-song-phi-cong-nhiem-covid-19-la-niem-tu-hao-cua-viet-nam-20200617210807852.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=228
